Sector, ROA, ROE, ROS, EBIT, EBITDA, EBIT Margin, EBITDA Margin, Gross Profit Margin, BEP, Revenue Growth, Net Income Growth, Interest Coverage Ratio, Total Assets Growth, Current Ratio, Quick Ratio, D/A Ratio, D/E Ratio, E/A Ratio, Inventory Turnover, Accounts Receivable Turnover, Working Capital Turnover, Total Asset Turnover
Bia và đồ uống,3.113879202,10.98392452,-5.534135355,1.84E+11,2.25E+11,-6.982605041,-3.35328208,14.23645858,3.613364982,6.956814555,-126.4061135,-212.2149019,0.965798948,2.614318586,1.825925309,36.62128144,33.71096702,63.37871856,36.0144122,28.32277336,29.28922916,1.518288348
Bán lẻ,1.794102811,6.89088222,-18.95917081,1.95E+11,3.43E+11,-22.55898118,-19.75032665,19.56918126,0.606887206,14.13022408,324.2379943,-57.42696332,11.65266227,44.56114532,41.45464501,72.68970399,138.3614497,27.31029601,205.8302691,21.20745978,15.76927445,2.156582587
Bảo hiểm nhân thọ,0.964716633,8.452003376,4.861259864,,,,,-2.556639648,,3.779194202,8.316658375,,14.50096591,3.956085451,3.951489672,88.56182962,796.5298074,11.43817038,319.9290253,3.913881614,0.477515438,0.202702861
Bảo hiểm phi nhân thọ,3.303494769,10.3673291,9.167558135,,,,,14.78712455,,8.290318187,16.16758381,,7.874379535,1.261677664,1.260996005,68.9305375,240.6828371,31.06947267,7768.684304,4.198756994,3.051497546,0.463957254
Bất động sản,0.368453896,2.378449604,-102.1180287,5.15E+11,7.84E+11,-140.9453271,-136.0791676,39.55335974,0.250749188,101.5740614,-395.4316266,10.92670986,17.76103171,3.472064353,2.722905306,53.52471888,155.8421988,46.47531016,48.71274419,1.828143291,3.50998233,0.214946982
Công nghiệp nặng,2.715946857,1.982637281,-1.580083718,2.28E+11,2.65E+11,-6.258484049,-3.877722968,9.97740748,1.090317407,14.31967204,-211.164209,-65.33496896,12.14255783,2.058270173,1.588033896,80.26031851,268.3166689,19.72488516,7.82251915,4.66925128,-4.765958025,1.120725326
Du lịch & Giải trí,1.192899879,-24.0480194,-26.47240001,-2.04E+11,-57610462689,-33.96305141,-26.91482876,9.724273674,0.582451775,85.24345555,161.7848778,24.2515018,7.038574445,4.279776982,4.112405477,58.0657545,145.3360267,41.9342455,819.7950691,7.341095553,2.81590609,0.948151376
Dược phẩm,5.809207305,9.042763775,6.156859772,75518638519,96222074386,6.149687531,9.015938278,25.18485396,6.137098374,19.73358746,20.28584431,-209.4988983,6.724264955,2.578655263,1.775940603,42.16399136,142.9993439,57.83600864,30.88414676,6.178701162,8.175495669,1.028422098
Dịch vụ tài chính,3.050721738,6.327980545,4.12014137,2.11E+11,2.44E+11,0.266518635,3.416437906,42.4833362,2.683129112,41.06030157,46.11570411,-38.14421904,42.66940213,16.91690957,2.922690413,39.18076697,124.0021743,60.81923497,1034.489037,26.15254419,0.394100379,0.191917748
Hàng cá nhân,2.186645029,6.845873618,-10.15431665,97233207553,1.37E+11,-14.61075619,-3.417765744,16.60946457,2.680559788,6.561138144,-152.2925132,-534.9164052,5.644280888,4.028522691,3.14954919,103.9102711,153.4601239,-3.88985943,22.96913982,8.728303757,-8.982182068,1.191687855
Hàng công nghiệp,3.429832346,6.45075728,4.734666902,13770478279,48440776853,4.837761513,6.568600878,14.46012379,3.185603514,5.853550868,-18.05896663,-159.896479,2.771926311,2.7398665,1.860230322,42.50494606,104.0485376,57.49505394,9.964515496,8.689744371,158.4710796,1.527248482
Hàng gia dụng,6.614091771,12.05234361,5.720577411,1.31E+11,1.62E+11,6.04888615,7.75385212,22.66024079,7.229424365,17.52066958,-39.14468886,-15.45001362,7.235906408,4.986413322,4.041540896,34.59681323,71.30369804,65.59164653,4.632468363,2.81552045,2.639216226,0.835688314
Hàng hóa giải trí,6.044625471,9.887091009,13.06914607,17875516288,30874872387,15.50781815,18.5646765,34.48272556,6.717640977,40.73131706,-27.12414359,-23.46654183,8.78349725,5.825509486,5.422191936,36.25796788,70.09544184,63.74203212,18.64678277,5.637358339,-9.465783065,0.706372435
Hóa chất,5.049968947,6.112371708,5.982525676,2.45E+11,3.37E+11,5.757738186,8.596107373,15.3395284,4.912807149,9.619180719,619.713702,668.0703386,4.10852837,2.509632249,1.807600017,40.049477,-104.6136784,59.95075735,2261.941245,13.42232392,5.230410555,1.745907046
Khai khoáng,-8.261334269,-941.2609527,-27609.83714,-10286110341,1.10E+11,-27610.21755,-27605.89148,11.6490306,-9.059363943,84.69946795,-60.33228417,-314.6577632,11.04194526,2.78096417,2.303159926,50.89622177,44.77166293,49.10377823,1271.74889,23.19436612,-11.97387056,1.733157099
Khác,1.931532364,6.455447839,1.718644386,8436243475,17542905644,1.139784114,1.80233987,7.408431021,1.400872585,15.98917484,173.7753607,-7.622820416,19.39528933,1.211730629,0.870864272,69.43623602,588.892098,30.56376398,22.28378559,3.972936105,38.27189089,2.133728635
Kim loại,1.089992097,1.152565071,-7.416988187,3.50E+11,5.80E+11,-16.11912219,-14.79621311,6.629382111,-0.643498991,5.988096206,-68138.76736,804.286718,9.796893821,2.099033015,1.309111603,60.74831519,258.1608959,39.25168481,15.52621094,14.21179608,93.72343892,2.139866573
Lâm nghiệp và Giấy,6.588789378,8.919243546,16.92138252,70241413099,1.14E+11,16.01583182,18.56002592,16.79438898,6.404403568,3.940033428,-9.872810139,-59.67770745,7.452029049,4.340400401,3.719946001,41.62463151,110.7781349,58.37536849,21.31597534,6.753039278,3.812472613,0.972101415
Ngân hàng,1.161144528,12.6534706,,,,,,,,,-77456.82322,,15.72909086,,,91.20132446,1157.895845,8.798675538,,,,
Nước & Khí đốt,5.635458042,9.004210773,8.858732685,1.89E+11,2.62E+11,8.112163903,14.37301595,24.51482546,5.776406248,13.87758816,51.18655083,-42.68060214,6.641116396,1.937133238,1.690340066,44.0810977,114.2865081,55.9189023,37.85226051,19.75008756,14.74875755,2.067620637
Phân phối thực phẩm & dược phẩm,4.974693087,59.634624,5.39910412,55280233721,61909482257,7.888231805,8.550852051,10.33112921,6.19731909,26.25170932,-16.39903979,-21.29575168,19.61164079,1.94862186,1.396522698,58.99504484,420.039149,41.00495516,15.62817377,8.536862174,-9.247702974,1.634222075
Phần mềm & Dịch vụ Máy tính,3.414750744,7.093953916,-32.01246101,6.56E+11,9.16E+11,-31.57343596,-30.06682631,26.4500167,3.249747044,81.44410141,766.5687015,-147.771461,12.53753467,3.907994831,3.354010801,48.33368684,133.188152,51.66631316,47.86626619,2.252140018,4.529152921,0.760883144
Sản xuất & Phân phối Điện,10.32336637,14.95891184,27.31279778,2.09E+11,5.17E+11,21.01673601,35.95518864,42.88008513,9.688848602,9.661578105,18.74917556,-45.95471076,-0.017798058,2.361163542,2.205455661,37.13954661,77.83761763,62.86045339,197.9414936,4.907563633,-6.875448924,0.671218242
Sản xuất Dầu khí,3.91795525,7.935008201,1.677850417,2.84E+12,4.37E+12,1.637145503,2.813473179,4.804749079,3.862799566,28.08616886,-65.31088539,-8.758088148,11.88324048,1.485844728,1.160213154,54.23237519,133.6627655,45.76762481,17.95516965,14.84799287,22.12567133,2.799785498
Sản xuất thực phẩm,-3.059325612,27.75889372,-18.92775096,2.57E+11,4.06E+11,-28.10961516,-24.03201781,13.76081472,-9.993525608,11.94034327,38.22580325,-43.75135229,7.257422976,2.778545732,2.079752273,161.8670798,465.1374787,-61.86688763,15.73195539,10.28001874,-17.6219583,1.272630909
Thiết bị và Dịch vụ Y tế,6.372080141,33.15519834,9.498635721,29193509129,43041683194,7.871101833,11.29198496,24.05674457,6.102895383,5.826613625,-38.6173511,-62.15709979,10.29454143,5.094134732,4.076958189,37.54018907,4300.364925,62.45981093,8.893332205,6.389107148,0.647063292,0.930069435
Thiết bị và Phần cứng,2.406846756,4.210746831,0.696910827,12561993766,16139987373,-3.064934233,-2.791306676,14.32367719,2.184277554,61.26413709,-194.1732605,-145.6500751,3.410236771,2.890004949,2.448126134,50.49369897,166.6585288,49.50630103,14.51490279,2.815765254,6.325493221,1.130106021
"Thiết bị, Dịch vụ và Phân phối Dầu khí",3.312699208,7.525565781,2.740475428,1.99E+11,4.19E+11,2.217840113,7.90447652,7.809789201,3.404401557,35.73194057,-66.65721283,-26.46308463,10.03904007,2.223931013,1.761531247,48.36893984,169.8658696,51.63106016,22.96794855,5.005032768,7.993204213,1.286298826
Thuốc lá,3.523622435,5.979067085,-22.3971716,43853469273,57970491358,-15.78536083,-14.42095583,13.35498326,3.868483332,-0.699669201,45.94626487,-24.79263992,8.411241823,5.158187911,4.298553029,29.69389453,49.97648879,70.30314103,9.067057978,5.956291922,4.267222353,1.72009351
Truyền thông,5.652558176,8.55698967,239.9415435,12532903868,33779050745,312.0421186,314.1554137,14.1052949,6.84006834,18.2335723,613.2151591,-87.56233925,189.8181747,4.403711264,3.660853212,36.28695713,102.2759846,63.71304287,111.8625823,14.90084558,2.967498581,1.496313716
Tư vấn & Hỗ trợ Kinh doanh,5.651672515,8.777059491,10.75375251,21871996601,30226415844,9.744845985,11.44275532,19.00684733,6.277274752,9.8095185,-4.904751871,-144.8848459,1.843030197,21.19688458,20.91896246,40.46564389,70.59188464,59.53435611,142.8289071,4.442790668,4.135655868,1.11649552
Viễn thông cố định,8.401139589,15.35806916,9.266476143,5.55E+11,8.60E+11,11.04005245,15.4262665,30.69435494,10.13986608,9.304761316,6.855764863,-632.9520138,2.05310926,2.444715681,1.992918744,41.87220931,85.98625588,58.12779069,94.88384402,5.53718207,10.83533821,0.991232606
Viễn thông di động,5.659122556,31.93770589,5.228129002,1.24E+12,2.42E+12,7.031198322,12.20336992,19.34135679,7.119118865,-5.455559629,44.4704412,-8.63509237,0.533814077,2.299653096,2.242215397,45.3367561,27.88377434,54.6632439,349.0179954,2.994454332,-2.09973121,1.164044435
Vận tải,6.492396935,8.483285579,36.45899794,1.88E+11,2.87E+11,37.82776053,44.45806811,16.43924964,6.747912282,51.6277715,411.3341816,-7054.181173,7.288887813,3.336028733,3.220940673,55.00126989,94.61889541,44.99873011,45206.97168,7.275143016,15.2737924,1.109364629
Xây dựng và Vật liệu,1.044028372,3.093276782,-79.33297048,20264585268,67927038930,-107.3762571,-101.3457295,13.7689562,-0.116413667,23.9013755,40147.50789,-673.8373383,4.501704406,2.169437739,1.67672671,70.68330184,232.3983444,29.30512987,49.47952526,4.651459881,1.109758699,0.664656731
Ô tô và phụ tùng,-0.389205155,-62.55790695,-1.287125528,41330146326,99678110846,-9.38089681,-8.320265984,8.8719065,-3.138798819,32.21756241,-93.64729358,-11.78861153,13.42981689,1.482475067,0.927141131,72.56173427,301.5231547,27.43826573,7.441213096,13.20784419,33.28039362,1.470141536
Điện tử & Thiết bị điện,5.465780569,9.441418348,83.37142628,1.06E+11,2.69E+11,101.2016572,102.3431517,15.36168492,5.42186787,2065.384791,8318.328603,-918.9721276,10.8358491,4.088643774,3.10113145,43.19244184,123.5877342,56.80755816,92.57955245,7.271458094,6.547521574,1.156613239
